Month,Production (tonnes),State,Source,Data Quality
2024-01,90370.0,India,IBM MSMP January 2024,Provisional
2024-02,91307.0,India,IBM MSMP February 2024,Provisional
2024-03,359412.0,India,IBM MSMP March 2024,Provisional
2024-04,322341.0,India,IBM MSMP April 2024,Provisional
2024-05,364507.0,India,IBM MSMP May 2024,Provisional
2024-06,318709.0,India,IBM MSMP June 2024,Provisional
2024-07,260590.0,India,IBM MSMP July 2024,Provisional
2024-08,197900.0,India,IBM MSMP August 2024,Provisional
2024-09,246800.0,India,IBM MSMP September 2024,Provisional
2024-10,245953.282,India,IBM MSMP October 2024,Revised
2024-11,324473.163,India,IBM MSMP November 2024,Revised
2024-12,350543.893,India,IBM MSMP December 2024,Provisional
2025-01,387441.739,India,IBM MSMP January 2025,Provisional
2025-02,387867.24,India,IBM MSMP February 2025,Provisional
2025-03,394393.33,India,IBM MSMP March 2025,Provisional
2025-04,346337.463,India,IBM MSMP April 2025,Provisional
2025-05,356683.295,India,IBM MSMP May 2025,Provisional
2025-06,289727.455,India,IBM MSMP June 2025,Provisional
2025-07,256980.929,India,IBM MSMP July 2025,Provisional
2025-08,263411.264,India,IBM MSMP August 2025,Provisional
2025-09,257338.36,India,IBM MSMP September 2025,Provisional
2025-10,278101.749,India,IBM MSMP October 2025,Revised
2025-11,310237.789,India,IBM MSMP November 2025,Revised
2025-12,354791.424,India,IBM MSMP December 2025,Provisional
