site_name,commodity,development_status,latitude,longitude,source
Keonjhar Mn Deposits, MN,Producer,22.02943999992484,85.41020000043432,USGS MRDS
Kansa, CR FE MN P S,Prospect,20.829549999900312,86.33018000007502,USGS MRDS
Barbil, MN,Producer,22.11613999991036,85.35019999996356,USGS MRDS
Orissa State, MN,Producer,21.632780000157517,85.6668899996103,USGS MRDS
Barbill Mine, MN AL FE,Producer,22.11613999991036,85.35019999996356,USGS MRDS
Dalapahar Mine, MN,Producer,20.56598999997406,84.50478000002148,USGS MRDS
Gurda Mine, MN,Past Producer,20.56598999997406,84.50478000002148,USGS MRDS
Siljora Mine, MN,Producer,20.56598999997406,84.50478000002148,USGS MRDS
Jamda-Koira Valley, FE MN P,Producer,21.899459999746217,85.2502100007219,USGS MRDS
Bhutuda Mine, MN,Producer,20.56598999997406,84.50478000002148,USGS MRDS
Orissa Deposits, MN,Producer,21.63280999991267,85.6668600003714,USGS MRDS
Thakurani Mine, MN,Producer,20.56598999997406,84.50478000002148,USGS MRDS
Chaibasa Area, MN,Past Producer,22.549400000353756,85.81019000023304,USGS MRDS
Kalaparbat Mine, MN,Producer,22.299419999576244,85.30019999942152,USGS MRDS
